Navajo Sentence,Detected Language,Confidence,Translation to English,Back Translation
$50 bąąh hilį́į́hígíí nidaháyiinį́į́łgo diyogí nidahanį́į́h.,yo,0.541509211063385,$50 bąąh hilį́į́hígíí nidahayiiní́į́łgo diyogi nidahanį́į́h.,$50 bąąh hilį́į́hígíí nidhaihiiní́į́łgo diyogi nidahanį́į́h.
Ąąʼąʼii dadootłʼizhígíí éí ashdlaʼ ałʼąą ádaatʼé.,is,1,Ąąʼąʼii dadootłʼizhígíí éí ashdlaʼ ałʼąą ádaatʼé.,Ąąʼąʼii dadootłʼizhígíí éí ashdlaʼ ałʼąą ádaatʼé.
Ąąʼąʼiitseenézí éí 11 ałʼąą ádaatʼé.,is,0.9783806800842285,Ąąʼąʼiitseenézí éí 11 ałʼąą ádaatʼé.,Ąąʼąʼiitseenézí éí 11 ałʼąą ádaatʼé.
Aʼą́ą́łání éí -gi bił hazʼą́.,ln,0.6762439608573914,A&#39;ą́ą́łání is -gi bił haz&#39;ą́.,A&#39;ą́ą́łání ezali -gi bił haz&#39;ą́.
"Aadi aadooléʼéʼ yaʼnidaʼtʼį́į́h łééh, áádóó bee hazʼáanii aadiʼ adéíłį́ʼ dóó yéélą́ nidaʼiiłééh.",wo,0.9312211275100708,"Aadi aadooléʼ did not know him, but they did not know him.","Aadi aadooléʼ xamu ko woon, waaye ñoom dañu ko xamul."
; áadi díí chʼil ádin).,yo,0.22725169360637665,; áadi díí chʼil ádin).,; áadi díí chʼil ádin).
; áadi éí doo hólǫ́ǫ da).,is,1,; áadi éí doo hólǫ́ǫ da).,; áadi éí doo hólǫ́ǫ da).
Aadi éí ééʼnéíshoodí bikin (church) adaʼyiilá.,wo,0.14558833837509155,You can&#39;t do (church) here.,Mën ngeen def (eglis) fii.
"Áadi éí kéyah tó binahaazyínígíí dóó ""Flores"" hoolyéedi tʼéiyá hólǫ́.",ln,0.9203640818595886,The first is the &quot;Flores&quot; hoolyéedi tʼéiyá hólǫ́.,Ya liboso ezali &quot;Flores&quot; hoolyéedi tʼéiyá hólǫ́.
Áadi éí Siláo Naʼałʼeełígíí Bióltaʼígíídi atah ííłtaʼ.,is,0.9626118540763855,Áadi éí Siláo Naʼałʼeełígíí Bioltaʼígíídi atah ííłtaʼ.,Áadi éí Siláo Naʼałʼeełígíí Bioltaʼígíídi atah ííłtaʼ.
"Áadi éí tábąąhgi naagháa łeh, áádóó éí tłʼéeʼgo tʼéiyá naaghá.",is,1,"Áadi éí tábąąhgi naagháa łeh, áádóó éí tłʼéeʼgo tʼéiyá naaghá.","Áadi éí tábąąhgi naagháa łeh, áádóó éí tłʼéeʼgo tʼéiyá naaghá."
