Language,Source,Link,Sentences
Western Apache,Glosbe,https://app.glosbe.com/recent?l1=en&l2=apw&user=,Áídí’ Jesus Holy Spirit nabiłaago da’igolı́ı̨́yú ch’iidn nant’án nabíntaahyú ̨óyáá
Western Apache,Glosbe,,"Dá doo iyáné dizdin behiskąą, áí ąął hiskąądá’ shiṉá’ silįį"
Western Apache,Glosbe,,"Na’íntaahíí baa nyáágo gábiłṉii, Ni Bik’ehgo’ihi’ṉań biYe’ ńlı́ı̨́yúgo, díí tsééhíí báń náodleeh, ̨nṉii"
Western Apache,Glosbe,,"Áídá’ Jesus gábiłṉii, Ágágolzeego k’e’eshchįį, Nṉee doo dá báń zhą́ yee hiṉaa da doleeł, áídá’ Bik’ehgo’ihi’ṉań biyati’íí bizé’dí’ behagohigháhíí dawa yee hiṉaa doleeł"
Western Apache,Glosbe,,Ch’iidn nant’án godiyįhgo ízisgo kįh gozṉilyú Jesus yił o’áázhgo kįh biyi’ da’ch’okąąhíí ts’ídago goz’aaníí bilatahyú yił n’áázhgo
Western Apache,Glosbe,,"Jesus bich’į’ hananádziigo gábiłṉii, Ágágolzeego k’ená’ishchįį, Bik’ehgo’ihi’ṉań neBik’ehń doo nabíńtaah da."
Western Apache,Glosbe,,Áídí’ dził dázhǫ́ yúdahi biká’yú yił hananát’aazhgo nṉee iłtah at’éégo hadaazt’i’íí dawa ła’íí bi’ízisgo ágot’eehíí bił ch’í’ṉah áyíílaago
Western Apache,Glosbe,,"Gábiłṉii, Díí nagoz’aaníí dawa naa dinish’aa doleeł, hayaa ánṉe’go shonkąąhyúgo"
Western Apache,Glosbe,,"Jesus gánábiłdo’ṉiid, Yuwehyú, Satan: ágágolzeego k’ená’ishchįį, Bik’ehgo’ihi’ṉań neBik’ehń zhą́ honkąąh, da áń zhą́ bá na’izíid."
Western Apache,Glosbe,,Áídí’ ch’iidn nant’án bits’ą́’zhį’ onádzaadá’ Bik’ehgo’ihi’ṉań binadaal’a’á yaaká’dí’hi baa hikaigo bich’odaazṉi’
Western Apache,Glosbe,,"Názarethdí’ dahiyaago Capérnaumyú ngonle’, túsikaaníí bahyú, Zábulon hik’e Néphthalim bigodesdzogíí biyi’"
Western Apache,Glosbe,,"Esáias, Bik’ehgo’ihi’ṉań binkááyú na’iziidi, gánṉiid n’íí begolṉe’go"
